Salary,Years of Experience,Education Level,Age
90000,5.0,Bachelor Degree or Equivalent,32
65000,3.0,Master Degree or Equivalent,28
150000,15.0,Doctorate or Equivalent,45
60000,7.0,Bachelor Degree or Equivalent,36
200000,20.0,Master Degree or Equivalent,52
55000,2.0,Bachelor Degree or Equivalent,29
120000,12.0,Master Degree or Equivalent,42
80000,4.0,Bachelor Degree or Equivalent,31
45000,1.0,Bachelor Degree or Equivalent,26
110000,10.0,Doctorate or Equivalent,38
75000,3.0,Master Degree or Equivalent,29
140000,18.0,Bachelor Degree or Equivalent,48
65000,6.0,Bachelor Degree or Equivalent,35
130000,14.0,Master Degree or Equivalent,40
40000,2.0,Bachelor Degree or Equivalent,27
125000,16.0,Bachelor Degree or Equivalent,44
90000,7.0,Master Degree or Equivalent,33
115000,12.0,Doctorate or Equivalent,39
35000,0.0,Bachelor Degree or Equivalent,25
180000,22.0,Bachelor Degree or Equivalent,51
80000,5.0,Master Degree or Equivalent,34
190000,19.0,Master Degree or Equivalent,47
50000,2.0,Bachelor Degree or Equivalent,30
60000,9.0,Bachelor Degree or Equivalent,36
140000,13.0,Master Degree or Equivalent,41
45000,3.0,Bachelor Degree or Equivalent,28
110000,11.0,Master Degree or Equivalent,37
40000,1.0,Bachelor Degree or Equivalent,24
140000,15.0,Doctorate or Equivalent,43
90000,6.0,Master Degree or Equivalent,33
250000,25.0,Bachelor Degree or Equivalent,50
55000,4.0,Bachelor Degree or Equivalent,31
65000,10.0,Bachelor Degree or Equivalent,39
170000,20.0,Doctorate or Equivalent,46
45000,2.0,Bachelor Degree or Equivalent,27
60000,7.0,Bachelor Degree or Equivalent,35
115000,14.0,Master Degree or Equivalent,42
40000,1.0,Bachelor Degree or Equivalent,26
160000,21.0,Bachelor Degree or Equivalent,49
190000,18.0,Master Degree or Equivalent,48
60000,3.0,Bachelor Degree or Equivalent,30
45000,8.0,Bachelor Degree or Equivalent,36
130000,13.0,Master Degree or Equivalent,41
40000,2.0,Bachelor Degree or Equivalent,28
75000,5.0,Bachelor Degree or Equivalent,32
180000,16.0,Master Degree or Equivalent,45
120000,11.0,Doctorate or Equivalent,38
130000,22.0,Bachelor Degree or Equivalent,51
85000,7.0,Master Degree or Equivalent,33
60000,12.0,Bachelor Degree or Equivalent,40
200000,19.0,Master Degree or Equivalent,47
50000,3.0,Bachelor Degree or Equivalent,29
95000,9.0,Bachelor Degree or Equivalent,36
65000,2.0,Master Degree or Equivalent,27
140000,17.0,Doctorate or Equivalent,43
55000,4.0,Bachelor Degree or Equivalent,30
105000,7.0,Master Degree or Equivalent,35
170000,23.0,Master Degree or Equivalent,51
80000,12.0,Bachelor Degree or Equivalent,40
180000,21.0,Doctorate or Equivalent,47
35000,1.0,Bachelor Degree or Equivalent,26
90000,10.0,Master Degree or Equivalent,38
120000,19.0,Bachelor Degree or Equivalent,46
45000,5.0,Bachelor Degree or Equivalent,31
90000,8.0,Master Degree or Equivalent,34
150000,18.0,Master Degree or Equivalent,49
65000,6.0,Bachelor Degree or Equivalent,33
70000,11.0,Bachelor Degree or Equivalent,39
190000,16.0,Doctorate or Equivalent,45
120000,14.0,Master Degree or Equivalent,42
95000,10.0,Bachelor Degree or Equivalent,37
160000,22.0,Bachelor Degree or Equivalent,50
100000,6.0,Master Degree or Equivalent,32
180000,20.0,Master Degree or Equivalent,48
55000,3.0,Bachelor Degree or Equivalent,30
70000,8.0,Bachelor Degree or Equivalent,36
80000,13.0,Master Degree or Equivalent,41
30000,0.0,Bachelor Degree or Equivalent,25
250000,24.0,Doctorate or Equivalent,52
40000,2.0,Bachelor Degree or Equivalent,29
95000,10.0,Master Degree or Equivalent,34
80000,15.0,Bachelor Degree or Equivalent,40
135000,21.0,Master Degree or Equivalent,46
55000,6.0,Bachelor Degree or Equivalent,31
120000,11.0,Doctorate or Equivalent,36
40000,3.0,Bachelor Degree or Equivalent,29
105000,18.0,Bachelor Degree or Equivalent,43
170000,25.0,Master Degree or Equivalent,52
75000,7.0,Bachelor Degree or Equivalent,33
65000,12.0,Bachelor Degree or Equivalent,39
160000,22.0,Doctorate or Equivalent,47
110000,20.0,Bachelor Degree or Equivalent,45
95000,8.0,Master Degree or Equivalent,35
150000,19.0,Master Degree or Equivalent,49
50000,5.0,Bachelor Degree or Equivalent,33
80000,13.0,Master Degree or Equivalent,39
220000,16.0,Doctorate or Equivalent,44
50000,3.0,Bachelor Degree or Equivalent,30
100000,14.0,Master Degree or Equivalent,41
110000,15.0,Master Degree or Equivalent,42
95000,9.0,Bachelor Degree or Equivalent,37
130000,22.0,Bachelor Degree or Equivalent,50
90000,6.0,Master Degree or Equivalent,32
35000,0.5,Bachelor Degree or Equivalent,23
95000,6.0,Master Degree or Equivalent,31
65000,15.0,Bachelor Degree or Equivalent,40
170000,20.0,Doctorate or Equivalent,48
45000,3.0,Bachelor Degree or Equivalent,29
120000,10.0,Master Degree or Equivalent,35
100000,17.0,Bachelor Degree or Equivalent,42
180000,25.0,Master Degree or Equivalent,53
80000,11.0,Bachelor Degree or Equivalent,38
140000,16.0,Doctorate or Equivalent,44
40000,2.0,Bachelor Degree or Equivalent,26
95000,9.0,Master Degree or Equivalent,37
110000,18.0,Bachelor Degree or Equivalent,45
50000,4.0,Bachelor Degree or Equivalent,32
105000,8.0,Master Degree or Equivalent,34
160000,21.0,Master Degree or Equivalent,50
100000,12.0,Master Degree or Equivalent,40
35000,1.0,Bachelor Degree or Equivalent,27
55000,10.0,Bachelor Degree or Equivalent,39
140000,19.0,Master Degree or Equivalent,46
50000,4.0,Bachelor Degree or Equivalent,30
120000,14.0,Master Degree or Equivalent,43
110000,13.0,Master Degree or Equivalent,41
135000,20.0,Bachelor Degree or Equivalent,47
40000,1.5,Master Degree or Equivalent,25
90000,8.0,Bachelor Degree or Equivalent,34
150000,16.0,Doctorate or Equivalent,42
60000,4.0,Bachelor Degree or Equivalent,31
80000,10.0,Bachelor Degree or Equivalent,38
175000,19.0,Master Degree or Equivalent,45
120000,11.0,Master Degree or Equivalent,36
140000,18.0,Doctorate or Equivalent,43
35000,2.0,Bachelor Degree or Equivalent,26
110000,14.0,Bachelor Degree or Equivalent,44
50000,5.0,Bachelor Degree or Equivalent,32
115000,7.0,Master Degree or Equivalent,33
185000,23.0,Doctorate or Equivalent,51
90000,12.0,Bachelor Degree or Equivalent,39
175000,21.0,Master Degree or Equivalent,48
45000,3.0,Bachelor Degree or Equivalent,30
80000,7.0,Bachelor Degree or Equivalent,35
120000,13.0,Master Degree or Equivalent,41
35000,1.5,Bachelor Degree or Equivalent,27
110000,14.0,Bachelor Degree or Equivalent,40
150000,18.0,Doctorate or Equivalent,46
50000,4.0,Bachelor Degree or Equivalent,31
105000,9.0,Master Degree or Equivalent,34
180000,20.0,Master Degree or Equivalent,50
100577.34584450402,10.03083109919571,,37.43163538873995
140000,16.0,Bachelor Degree or Equivalent,43
45000,1.5,Master Degree or Equivalent,26
85000,7.0,Bachelor Degree or Equivalent,35
140000,18.0,Doctorate or Equivalent,42
170000,20.0,Master Degree or Equivalent,46
105000,9.0,Master Degree or Equivalent,37
145000,15.0,Doctorate or Equivalent,44
85000,8.0,Bachelor Degree or Equivalent,36
130000,14.0,Bachelor Degree or Equivalent,43
95000,6.0,Master Degree or Equivalent,33
100000,9.0,Bachelor Degree or Equivalent,34
180000,22.0,Doctorate or Equivalent,50
35000,1.5,Bachelor Degree or Equivalent,28
95000,12.0,Bachelor Degree or Equivalent,39
170000,19.0,Master Degree or Equivalent,47
95000,7.0,Bachelor Degree or Equivalent,34
120000,13.0,Master Degree or Equivalent,40
90000,11.0,Bachelor Degree or Equivalent,41
155000,17.0,Doctorate or Equivalent,45
55000,5.0,Bachelor Degree or Equivalent,32
110000,9.0,Master Degree or Equivalent,35
180000,21.0,Master Degree or Equivalent,49
130000,16.0,Bachelor Degree or Equivalent,44
45000,1.5,Master Degree or Equivalent,27
90000,7.0,Bachelor Degree or Equivalent,36
160000,17.0,Doctorate or Equivalent,41
120000,10.0,Bachelor Degree or Equivalent,39
170000,20.0,Master Degree or Equivalent,47
40000,2.0,Bachelor Degree or Equivalent,30
110000,9.0,Master Degree or Equivalent,38
85000,8.0,Bachelor Degree or Equivalent,35
130000,14.0,Bachelor Degree or Equivalent,44
100000,6.0,Master Degree or Equivalent,34
95000,9.0,Bachelor Degree or Equivalent,35
35000,1.5,Bachelor Degree or Equivalent,29
100000,12.0,Bachelor Degree or Equivalent,40
170000,19.0,Master Degree or Equivalent,48
45000,3.0,Bachelor Degree or Equivalent,31
100000,7.0,Bachelor Degree or Equivalent,33
140000,13.0,Master Degree or Equivalent,42
105000,11.0,Bachelor Degree or Equivalent,40
160000,18.0,Doctorate or Equivalent,46
70000,5.0,Bachelor Degree or Equivalent,33
120000,9.0,Master Degree or Equivalent,37
190000,21.0,Master Degree or Equivalent,51
120000,15.0,Bachelor Degree or Equivalent,43
50000,1.5,Master Degree or Equivalent,27
140000,13.0,Doctorate or Equivalent,42
45000,3.0,Bachelor Degree or Equivalent,32
100000,9.0,Bachelor Degree or Equivalent,37
140000,16.0,Master Degree or Equivalent,45
160000,18.0,Doctorate or Equivalent,44
40000,1.5,Bachelor Degree or Equivalent,29
120000,10.0,Bachelor Degree or Equivalent,38
150000,19.0,Doctorate or Equivalent,46
70000,6.0,Bachelor Degree or Equivalent,34
95000,8.0,Bachelor Degree or Equivalent,36
50000,3.0,Bachelor Degree or Equivalent,31
95000,11.0,Bachelor Degree or Equivalent,41
350,1.5,Bachelor Degree or Equivalent,29
120000,10.0,Bachelor Degree or Equivalent,37
110000,12.0,Bachelor Degree or Equivalent,42
140000,15.0,Master Degree or Equivalent,44
60000,4.0,Bachelor Degree or Equivalent,33
110000,9.0,Bachelor Degree or Equivalent,39
150000,16.0,Doctorate or Equivalent,45
60000,4.0,Bachelor Degree or Equivalent,32
90000,8.0,Bachelor Degree or Equivalent,37
180000,20.0,Master Degree or Equivalent,47
120000,9.0,Bachelor Degree or Equivalent,38
160000,17.0,Doctorate or Equivalent,46
70000,5.0,Bachelor Degree or Equivalent,34
100000,9.0,Bachelor Degree or Equivalent,35
150000,15.0,Doctorate or Equivalent,44
130000,13.0,Bachelor Degree or Equivalent,44
65000,4.0,Bachelor Degree or Equivalent,32
110000,10.0,Bachelor Degree or Equivalent,38
180000,21.0,Doctorate or Equivalent,49
90000,7.0,Bachelor Degree or Equivalent,35
140000,14.0,Master Degree or Equivalent,45
130000,12.0,Bachelor Degree or Equivalent,40
160000,16.0,Doctorate or Equivalent,44
55000,3.0,Bachelor Degree or Equivalent,31
120000,12.0,Bachelor Degree or Equivalent,42
80000,6.0,Master Degree or Equivalent,34
160000,16.0,Master Degree or Equivalent,45
130000,12.0,Bachelor Degree or Equivalent,39
180000,20.0,Doctorate or Equivalent,47
100000,9.0,Bachelor Degree or Equivalent,36
150000,15.0,Doctorate or Equivalent,43
55000,3.0,Bachelor Degree or Equivalent,32
180000,21.0,Master Degree or Equivalent,48
160000,16.0,Doctorate or Equivalent,45
90000,7.0,Bachelor Degree or Equivalent,34
90000,8.0,Bachelor Degree or Equivalent,35
170000,18.0,Master Degree or Equivalent,43
150000,14.0,Bachelor Degree or Equivalent,41
180000,19.0,Master Degree or Equivalent,45
35000,1.0,Bachelor Degree or Equivalent,28
110000,8.0,Bachelor Degree or Equivalent,36
170000,19.0,Master Degree or Equivalent,43
